filename,drive_path,size_bytes,size_mb,row_count,column_count,sha256,verified_utc
MLB 2000 - no02-2024 Combined Calcd Positions.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000 - no02-2024 Combined Calcd Positions.csv,118387629,112.9,57635,167,9ae94eeb6db4b4370710b1bf10d0182ca9db63cd98103c06947aa38e1206ae4b,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-LON.csv,131260897,125.2,57635,151,b6cc040ca838a05e12e61bc0484bd808e239de36e44939d29596f359eec6b92e,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System G-AZ to G-RA.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to G-RA.csv,131260525,125.2,57635,151,7b18d1cfe36b7d55254f24ad784974a5d283834c4b05fa7706e4648c94989e64,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System G-AZ to H-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-AZ to H-LON.csv,119202442,113.7,57635,137,836ce609fea0b8508a3b76ec2de725112808f3787cfee4191177852c744c1e77,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System G-LON to G-AZ.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-LON to G-AZ.csv,190589587,181.8,57635,220,34f43534d9aa32a6304ec5b43870778aeddc257cee2b14f32da1b0a727a57194,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System G-LON to G-RA.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-LON to G-RA.csv,185017987,176.4,57635,214,3889ac798aaceafb2f23d3f79c55c33e889bccac3777f38d4f16c112aa1273ca,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System G-LON to H-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-LON to H-LON.csv,158822412,151.5,57635,183,ce88ec072a95f12a8b5eec7f55a13afcb5c28e534daa77c9904914aa69383449,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-RA to G-AZ.csv,190486407,181.7,57635,220,98697c03bf211e38d8ad38b6588cde9dad468abdf02b373cf5d45872ebf2d27e,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System G-RA to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-RA to G-LON.csv,184962201,176.4,57635,214,a3333b5f32f37efef57dbfd2496dd35c11c970c43ec4e0861c379c514b54d81c,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System G-RA to H-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System G-RA to H-LON.csv,158809551,151.5,57635,183,1cf5e53f4343990782754d3f73340478a4a063880f6ba54451f34782ab424e63,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System H-LON to G-AZ.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System H-LON to G-AZ.csv,82499291,78.7,57635,97,4275a8b91f367186ca2b51d857893db04b991adbad8539337941c3ed50cc292f,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System H-LON to G-LON.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System H-LON to G-LON.csv,82523595,78.7,57635,97,c07263d88489ae4f1a45d8bd778ccbcb426fae28df986fee7c2004e68cc21e98,2026-05-01T21:56:08Z
MLB 2000-no02-2024 Cross-System H-LON to G-RA.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 Cross-System H-LON to G-RA.csv,82531434,78.7,57635,97,515189f93eff2380f2f455f946dfd291181fb329958b22dbb189205a56cbcd9b,2026-05-01T21:56:08Z
MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 G-AZ to G-AZ aspect features.csv,127862581,121.9,57635,147,6c395ac6f644e36a45bd454f9ae078a3a9036a01a90d37c2d108823b5f9d66a0,2026-05-01T21:56:08Z
MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 G-LON to G-LON aspect features.csv,194753655,185.7,57635,226,defa2b30ef50d45f3bea1c58fd489d44dd2ac6b04ba6c494607666ea708b4849,2026-05-01T21:56:08Z
MLB 2000-no02-2024 G-RA to G-RA aspect features.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 G-RA to G-RA aspect features.csv,194690745,185.7,57635,226,6800cb8c595ccf0e42eaba3e717678cb3d63d63b4c391995702eca30523ee957,2026-05-01T21:56:08Z
MLB 2000-no02-2024 H-LON to H-LON aspect features.csv,/content/drive/MyDrive/MLB 2000-no0224 Training Files by System et al/MLB 2000-no02-2024 H-LON to H-LON aspect features.csv,74742623,71.3,57635,88,39f8d55e35ae2fc417173d496c29b118ff194e75ee8ea06eead7b7f91396c6ae,2026-05-01T21:56:08Z
