resolution,feature_id,modality,n_prominent_lobes,peak_lift_mean,local_grad_mean,support_min,peak_circ_sd
5,Asc G-LON x CE H-LON,multimodal,3,1.1499,0.022997,399,22.4
5,Asc G-LON x JN H-LON,unimodal_stable,3,1.1628,0.019413,415,1.0
5,Asc G-LON x MA H-LON,multimodal,3,1.1459,0.019971,398,29.6
5,Asc G-LON x PA H-LON,multimodal,3,1.1437,0.023962,271,44.3
5,Asc G-LON x VS H-LON,unimodal_stable,3,1.1546,0.027685,402,0.0
5,EA G-LON x CE H-LON,multimodal,3,1.135,0.018006,337,62.9
5,EA G-LON x JN H-LON,multimodal,3,1.1848,0.024745,303,36.6
5,EA G-LON x MA H-LON,multimodal,3,1.1388,0.021587,362,55.5
5,EA G-LON x PA H-LON,multimodal,3,1.1366,0.021932,317,61.7
5,EA G-LON x VS H-LON,bimodal,2,1.1208,0.019025,342,59.9
5,MC G-LON x CE H-LON,multimodal,3,1.1462,0.021835,349,67.7
5,MC G-LON x JN H-LON,multimodal,3,1.1624,0.023238,283,69.3
5,MC G-LON x MA H-LON,multimodal,3,1.1549,0.022958,362,56.9
5,MC G-LON x PA H-LON,multimodal,3,1.1519,0.019531,308,90.9
5,MC G-LON x VS H-LON,multimodal,3,1.1218,0.01666,324,83.4
5,VX G-LON x CE H-LON,multimodal,3,1.158,0.028809,344,105.0
5,VX G-LON x JN H-LON,multimodal,3,1.1461,0.023442,291,84.6
5,VX G-LON x MA H-LON,multimodal,3,1.2004,0.026088,339,54.2
5,VX G-LON x PA H-LON,multimodal,3,1.1249,0.017602,414,67.6
5,VX G-LON x VS H-LON,multimodal,3,1.1295,0.024109,321,88.1
5,Asc G-RA x CE H-LON,unimodal_stable,3,1.1664,0.02472,408,6.0
5,Asc G-RA x JN H-LON,unimodal_stable,3,1.1663,0.026159,414,2.4
5,Asc G-RA x MA H-LON,multimodal,3,1.1426,0.019915,383,36.9
5,Asc G-RA x PA H-LON,multimodal,3,1.1383,0.024517,256,38.5
5,Asc G-RA x VS H-LON,unimodal_stable,3,1.1606,0.027694,398,0.4
5,EA G-RA x CE H-LON,multimodal,3,1.1385,0.017848,329,67.3
5,EA G-RA x JN H-LON,multimodal,3,1.1719,0.022156,269,39.6
5,EA G-RA x MA H-LON,multimodal,3,1.1441,0.020673,381,70.3
5,EA G-RA x PA H-LON,multimodal,3,1.1493,0.021383,379,64.2
5,EA G-RA x VS H-LON,bimodal,2,1.1061,0.018724,338,62.0
5,MC G-RA x CE H-LON,multimodal,3,1.1385,0.017848,329,67.3
5,MC G-RA x JN H-LON,multimodal,3,1.1719,0.022156,269,39.6
5,MC G-RA x MA H-LON,multimodal,3,1.1441,0.02093,381,70.3
5,MC G-RA x PA H-LON,multimodal,3,1.1493,0.021383,379,64.2
5,MC G-RA x VS H-LON,bimodal,2,1.1061,0.018724,338,62.0
5,VX G-RA x CE H-LON,multimodal,3,1.1473,0.022874,352,84.1
5,VX G-RA x JN H-LON,bimodal,2,1.1339,0.017391,320,67.0
5,VX G-RA x MA H-LON,multimodal,3,1.2052,0.025288,315,48.9
5,VX G-RA x PA H-LON,multimodal,3,1.1401,0.020936,341,95.2
5,VX G-RA x VS H-LON,multimodal,3,1.1308,0.024891,316,89.1
6,Asc G-LON x CE H-LON,multimodal,3,1.1381,0.021326,472,22.3
6,Asc G-LON x JN H-LON,unimodal_stable,2,1.1394,0.011182,489,0.8
6,Asc G-LON x MA H-LON,multimodal,3,1.134,0.019646,486,32.6
6,Asc G-LON x PA H-LON,bimodal,2,1.1219,0.019272,338,80.7
6,Asc G-LON x VS H-LON,bimodal,2,1.1253,0.017144,460,23.7
6,EA G-LON x CE H-LON,bimodal,2,1.1244,0.01971,397,47.6
6,EA G-LON x JN H-LON,multimodal,3,1.1627,0.022191,346,37.2
6,EA G-LON x MA H-LON,unimodal_stable,3,1.1303,0.023814,417,6.0
6,EA G-LON x PA H-LON,multimodal,3,1.1315,0.018166,443,65.5
6,EA G-LON x VS H-LON,scatter_or_flat,1,1.1099,0.018301,391,77.2
6,MC G-LON x CE H-LON,multimodal,3,1.1319,0.019863,404,66.9
6,MC G-LON x JN H-LON,multimodal,3,1.1485,0.021494,341,74.6
6,MC G-LON x MA H-LON,multimodal,3,1.1413,0.017827,442,56.7
6,MC G-LON x PA H-LON,multimodal,3,1.1451,0.016806,451,62.9
6,MC G-LON x VS H-LON,multimodal,3,1.1144,0.015807,387,49.8
6,VX G-LON x CE H-LON,multimodal,3,1.1355,0.022353,407,103.8
6,VX G-LON x JN H-LON,bimodal,2,1.1135,0.018289,340,62.9
6,VX G-LON x MA H-LON,unimodal_stable,3,1.193,0.025442,433,-0.0
6,VX G-LON x PA H-LON,bimodal,2,1.1191,0.018378,480,49.3
6,VX G-LON x VS H-LON,multimodal,3,1.1136,0.014542,420,56.7
6,Asc G-RA x CE H-LON,multimodal,3,1.1436,0.020213,448,47.3
6,Asc G-RA x JN H-LON,unimodal_stable,1,1.156,0.017135,488,2.9
6,Asc G-RA x MA H-LON,multimodal,3,1.1304,0.018862,432,69.4
6,Asc G-RA x PA H-LON,multimodal,3,1.127,0.018259,472,25.8
6,Asc G-RA x VS H-LON,unimodal_stable,3,1.1387,0.015591,466,-0.0
6,EA G-RA x CE H-LON,bimodal,2,1.1226,0.017629,409,67.5
6,EA G-RA x JN H-LON,multimodal,3,1.1579,0.021346,320,40.1
6,EA G-RA x MA H-LON,multimodal,3,1.1282,0.021331,419,47.9
6,EA G-RA x PA H-LON,multimodal,3,1.1345,0.017942,454,62.6
6,EA G-RA x VS H-LON,bimodal,2,1.1062,0.018776,396,111.6
6,MC G-RA x CE H-LON,bimodal,2,1.1226,0.017629,409,67.5
6,MC G-RA x JN H-LON,multimodal,3,1.1579,0.021346,320,40.1
6,MC G-RA x MA H-LON,multimodal,3,1.1282,0.021331,419,47.9
6,MC G-RA x PA H-LON,multimodal,3,1.1345,0.017942,454,62.6
6,MC G-RA x VS H-LON,bimodal,2,1.1068,0.018776,395,111.6
6,VX G-RA x CE H-LON,multimodal,3,1.1258,0.020444,414,112.4
6,VX G-RA x JN H-LON,bimodal,2,1.119,0.019379,328,70.2
6,VX G-RA x MA H-LON,multimodal,3,1.188,0.027269,375,38.0
6,VX G-RA x PA H-LON,multimodal,3,1.1287,0.018492,475,70.2
6,VX G-RA x VS H-LON,bimodal,2,1.1206,0.019609,387,55.6
