origin,body,frame,dt_bin,n_pairs,dt_median_min,sep_median,sep_p90
MC,JN,G-RA,15-30,10357,25.0,6.0,17.0
MC,JN,G-RA,30-45,15407,32.0,6.0,16.0
MC,JN,G-RA,45-90,53296,60.0,5.0,16.0
MC,JN,G-RA,90-180,70030,125.0,6.0,36.0
MC,JN,G-RA,180-360,65469,211.0,51.0,94.0
MC,JN,G-RA,>360,28565,418.0,92.0,108.0
MC,JU,G-LON,<=15,54228,3.0,5.0,13.0
MC,JU,G-LON,15-30,10357,25.0,6.0,17.0
MC,JU,G-LON,30-45,15407,32.0,6.0,16.0
MC,JU,G-LON,45-90,53296,60.0,5.0,16.0
MC,JU,G-LON,90-180,70030,125.0,6.0,35.0
MC,JU,G-LON,180-360,65469,211.0,50.0,94.0
MC,JU,G-LON,>360,28565,418.0,92.0,109.0
MC,JU,G-RA,<=15,54228,3.0,5.0,13.0
MC,JU,G-RA,15-30,10357,25.0,6.0,17.0
MC,JU,G-RA,30-45,15407,32.0,6.0,16.0
MC,JU,G-RA,45-90,53296,60.0,5.0,16.0
MC,JU,G-RA,90-180,70030,125.0,6.0,36.0
MC,JU,G-RA,180-360,65469,211.0,51.0,94.0
MC,JU,G-RA,>360,28565,418.0,92.0,108.0
MC,MA,G-LON,<=15,54228,3.0,5.0,13.0
MC,MA,G-LON,15-30,10357,25.0,6.0,17.0
MC,MA,G-LON,30-45,15407,32.0,6.0,16.0
MC,MA,G-LON,45-90,53296,60.0,5.0,16.0
MC,MA,G-LON,90-180,70030,125.0,6.0,35.0
MC,MA,G-LON,180-360,65469,211.0,50.0,94.0
MC,MA,G-LON,>360,28565,418.0,92.0,109.0
MC,MA,G-RA,<=15,54228,3.0,5.0,13.0
MC,MA,G-RA,15-30,10357,25.0,6.0,17.0
MC,MA,G-RA,30-45,15407,32.0,6.0,16.0
MC,MA,G-RA,45-90,53296,60.0,5.0,16.0
MC,MA,G-RA,90-180,70030,125.0,6.0,36.0
MC,MA,G-RA,180-360,65469,211.0,51.0,94.0
MC,MA,G-RA,>360,28565,418.0,92.0,108.0
MC,ME,G-LON,<=15,54228,3.0,5.0,13.0
MC,ME,G-LON,15-30,10357,25.0,6.0,17.0
MC,ME,G-LON,30-45,15407,32.0,6.0,16.0
MC,ME,G-LON,45-90,53296,60.0,5.0,16.0
MC,ME,G-LON,90-180,70030,125.0,6.0,35.0
MC,ME,G-LON,180-360,65469,211.0,50.0,94.0
MC,ME,G-LON,>360,28565,418.0,92.0,109.0
MC,ME,G-RA,<=15,54228,3.0,5.0,13.0
MC,ME,G-RA,15-30,10357,25.0,6.0,17.0
MC,ME,G-RA,30-45,15407,32.0,6.0,16.0
MC,ME,G-RA,45-90,53296,60.0,5.0,16.0
MC,ME,G-RA,90-180,70030,125.0,6.0,36.0
MC,ME,G-RA,180-360,65469,211.0,50.0,94.0
MC,ME,G-RA,>360,28565,418.0,92.0,108.0
MC,MO,G-LON,<=15,54228,3.0,5.0,13.0
MC,MO,G-LON,15-30,10357,25.0,6.0,16.0
MC,MO,G-LON,30-45,15407,32.0,6.0,16.0
MC,MO,G-LON,45-90,53296,60.0,5.0,15.0
MC,MO,G-LON,90-180,70030,125.0,6.0,34.0
MC,MO,G-LON,180-360,65469,211.0,48.0,92.0
MC,MO,G-LON,>360,28565,418.0,88.0,105.0
MC,MO,G-RA,<=15,54228,3.0,5.0,13.0
MC,MO,G-RA,15-30,10357,25.0,6.0,16.0
MC,MO,G-RA,30-45,15407,32.0,6.0,16.0
MC,MO,G-RA,45-90,53296,60.0,5.0,15.0
MC,MO,G-RA,90-180,70030,125.0,6.0,34.0
MC,MO,G-RA,180-360,65469,211.0,48.0,91.0
MC,MO,G-RA,>360,28565,418.0,88.0,104.0
MC,NE,G-LON,<=15,54228,3.0,5.0,13.0
MC,NE,G-LON,15-30,10357,25.0,6.0,17.0
MC,NE,G-LON,30-45,15407,32.0,6.0,16.0
MC,NE,G-LON,45-90,53296,60.0,5.0,16.0
MC,NE,G-LON,90-180,70030,125.0,6.0,35.0
MC,NE,G-LON,180-360,65469,211.0,50.0,94.0
MC,NE,G-LON,>360,28565,418.0,92.0,109.0
MC,NE,G-RA,<=15,54228,3.0,5.0,13.0
MC,NE,G-RA,15-30,10357,25.0,6.0,17.0
MC,NE,G-RA,30-45,15407,32.0,6.0,16.0
MC,NE,G-RA,45-90,53296,60.0,5.0,16.0
MC,NE,G-RA,90-180,70030,125.0,6.0,36.0
MC,NE,G-RA,180-360,65469,211.0,51.0,94.0
MC,NE,G-RA,>360,28565,418.0,92.0,109.0
MC,NN,G-LON,<=15,54228,3.0,5.0,13.0
MC,NN,G-LON,15-30,10357,25.0,6.0,17.0
MC,NN,G-LON,30-45,15407,32.0,6.0,16.0
MC,NN,G-LON,45-90,53296,60.0,5.0,16.0
MC,NN,G-LON,90-180,70030,125.0,6.0,35.0
MC,NN,G-LON,180-360,65469,211.0,50.0,94.0
MC,NN,G-LON,>360,28565,418.0,92.0,109.0
MC,NN,G-RA,<=15,54228,3.0,5.0,13.0
MC,NN,G-RA,15-30,10357,25.0,6.0,17.0
MC,NN,G-RA,30-45,15407,32.0,6.0,16.0
MC,NN,G-RA,45-90,53296,60.0,5.0,16.0
MC,NN,G-RA,90-180,70030,125.0,6.0,36.0
MC,NN,G-RA,180-360,65469,211.0,51.0,94.0
MC,NN,G-RA,>360,28565,418.0,92.0,109.0
MC,PA,G-LON,<=15,54228,3.0,5.0,13.0
MC,PA,G-LON,15-30,10357,25.0,6.0,17.0
MC,PA,G-LON,30-45,15407,32.0,6.0,16.0
MC,PA,G-LON,45-90,53296,60.0,5.0,16.0
MC,PA,G-LON,90-180,70030,125.0,6.0,35.0
MC,PA,G-LON,180-360,65469,211.0,50.0,94.0
MC,PA,G-LON,>360,28565,418.0,92.0,109.0
MC,PA,G-RA,<=15,54228,3.0,5.0,13.0
MC,PA,G-RA,15-30,10357,25.0,6.0,17.0
MC,PA,G-RA,30-45,15407,32.0,6.0,16.0
MC,PA,G-RA,45-90,53296,60.0,5.0,16.0
MC,PA,G-RA,90-180,70030,125.0,6.0,36.0
MC,PA,G-RA,180-360,65469,211.0,51.0,94.0
MC,PA,G-RA,>360,28565,418.0,92.0,108.0
MC,PFdn,G-LON,<=15,54228,3.0,3.0,9.0
MC,PFdn,G-LON,15-30,10357,25.0,3.0,10.0
MC,PFdn,G-LON,30-45,15407,32.0,2.0,10.0
MC,PFdn,G-LON,45-90,53296,60.0,3.0,9.0
MC,PFdn,G-LON,90-180,70030,125.0,3.0,12.0
MC,PFdn,G-LON,180-360,65469,211.0,7.0,20.0
MC,PFdn,G-LON,>360,28565,418.0,12.0,26.0
MC,PFdn,G-RA,<=15,54228,3.0,3.0,9.0
MC,PFdn,G-RA,15-30,10357,25.0,3.0,9.0
MC,PFdn,G-RA,30-45,15407,32.0,3.0,9.0
MC,PFdn,G-RA,45-90,53296,60.0,3.0,9.0
MC,PFdn,G-RA,90-180,70030,125.0,3.0,12.0
MC,PFdn,G-RA,180-360,65469,211.0,7.0,21.0
MC,PFdn,G-RA,>360,28565,418.0,13.0,27.0
MC,PFff,G-LON,<=15,54228,3.0,2.0,8.0
MC,PFff,G-LON,15-30,10357,25.0,3.0,8.0
MC,PFff,G-LON,30-45,15407,32.0,2.0,8.0
MC,PFff,G-LON,45-90,53296,60.0,3.0,8.0
MC,PFff,G-LON,90-180,70030,125.0,3.0,9.0
MC,PFff,G-LON,180-360,65469,211.0,7.0,17.0
MC,PFff,G-LON,>360,28565,418.0,11.0,20.0
MC,PFff,G-RA,<=15,54228,3.0,2.0,8.0
MC,PFff,G-RA,15-30,10357,25.0,3.0,8.0
MC,PFff,G-RA,30-45,15407,32.0,2.0,7.0
MC,PFff,G-RA,45-90,53296,60.0,3.0,7.0
MC,PFff,G-RA,90-180,70030,125.0,3.0,9.0
MC,PFff,G-RA,180-360,65469,211.0,7.0,19.0
MC,PFff,G-RA,>360,28565,418.0,13.0,22.0
MC,PL,G-LON,<=15,54228,3.0,5.0,13.0
MC,PL,G-LON,15-30,10357,25.0,6.0,17.0
MC,PL,G-LON,30-45,15407,32.0,6.0,16.0
MC,PL,G-LON,45-90,53296,60.0,5.0,16.0
MC,PL,G-LON,90-180,70030,125.0,6.0,35.0
MC,PL,G-LON,180-360,65469,211.0,50.0,94.0
MC,PL,G-LON,>360,28565,418.0,92.0,109.0
MC,PL,G-RA,<=15,54228,3.0,5.0,13.0
MC,PL,G-RA,15-30,10357,25.0,6.0,17.0
MC,PL,G-RA,30-45,15407,32.0,6.0,16.0
MC,PL,G-RA,45-90,53296,60.0,5.0,16.0
MC,PL,G-RA,90-180,70030,125.0,6.0,36.0
MC,PL,G-RA,180-360,65469,211.0,51.0,94.0
MC,PL,G-RA,>360,28565,418.0,92.0,109.0
MC,SA,G-LON,<=15,54228,3.0,5.0,13.0
MC,SA,G-LON,15-30,10357,25.0,6.0,17.0
MC,SA,G-LON,30-45,15407,32.0,6.0,16.0
MC,SA,G-LON,45-90,53296,60.0,5.0,16.0
MC,SA,G-LON,90-180,70030,125.0,6.0,36.0
MC,SA,G-LON,180-360,65469,211.0,50.0,94.0
MC,SA,G-LON,>360,28565,418.0,92.0,109.0
MC,SA,G-RA,<=15,54228,3.0,5.0,13.0
MC,SA,G-RA,15-30,10357,25.0,6.0,17.0
MC,SA,G-RA,30-45,15407,32.0,6.0,16.0
MC,SA,G-RA,45-90,53296,60.0,5.0,16.0
MC,SA,G-RA,90-180,70030,125.0,6.0,36.0
MC,SA,G-RA,180-360,65469,211.0,51.0,94.0
MC,SA,G-RA,>360,28565,418.0,92.0,108.0
MC,SU,G-LON,<=15,54228,3.0,5.0,13.0
MC,SU,G-LON,15-30,10357,25.0,6.0,16.0
MC,SU,G-LON,30-45,15407,32.0,6.0,16.0
MC,SU,G-LON,45-90,53296,60.0,5.0,16.0
MC,SU,G-LON,90-180,70030,125.0,6.0,35.0
MC,SU,G-LON,180-360,65469,211.0,50.0,94.0
MC,SU,G-LON,>360,28565,418.0,92.0,109.0
MC,SU,G-RA,<=15,54228,3.0,5.0,13.0
MC,SU,G-RA,15-30,10357,25.0,7.0,17.0
MC,SU,G-RA,30-45,15407,32.0,6.0,16.0
MC,SU,G-RA,45-90,53296,60.0,5.0,16.0
MC,SU,G-RA,90-180,70030,125.0,6.0,36.0
MC,SU,G-RA,180-360,65469,211.0,51.0,94.0
MC,SU,G-RA,>360,28565,418.0,92.0,108.0
MC,UR,G-LON,<=15,54228,3.0,5.0,13.0
MC,UR,G-LON,15-30,10357,25.0,6.0,17.0
MC,UR,G-LON,30-45,15407,32.0,6.0,16.0
MC,UR,G-LON,45-90,53296,60.0,5.0,16.0
MC,UR,G-LON,90-180,70030,125.0,6.0,35.0
MC,UR,G-LON,180-360,65469,211.0,50.0,94.0
MC,UR,G-LON,>360,28565,418.0,92.0,109.0
MC,UR,G-RA,<=15,54228,3.0,5.0,13.0
MC,UR,G-RA,15-30,10357,25.0,6.0,17.0
MC,UR,G-RA,30-45,15407,32.0,6.0,16.0
MC,UR,G-RA,45-90,53296,60.0,5.0,16.0
MC,UR,G-RA,90-180,70030,125.0,6.0,36.0
MC,UR,G-RA,180-360,65469,211.0,51.0,94.0
MC,UR,G-RA,>360,28565,418.0,92.0,109.0
MC,VE,G-LON,<=15,54228,3.0,5.0,13.0
MC,VE,G-LON,15-30,10357,25.0,6.0,17.0
MC,VE,G-LON,30-45,15407,32.0,6.0,16.0
MC,VE,G-LON,45-90,53296,60.0,5.0,16.0
MC,VE,G-LON,90-180,70030,125.0,6.0,35.0
MC,VE,G-LON,180-360,65469,211.0,50.0,94.0
MC,VE,G-LON,>360,28565,418.0,92.0,109.0
MC,VE,G-RA,<=15,54228,3.0,5.0,13.0
MC,VE,G-RA,15-30,10357,25.0,6.0,17.0
MC,VE,G-RA,30-45,15407,32.0,6.0,16.0
MC,VE,G-RA,45-90,53296,60.0,5.0,16.0
MC,VE,G-RA,90-180,70030,125.0,6.0,36.0
MC,VE,G-RA,180-360,65469,211.0,51.0,94.0
MC,VE,G-RA,>360,28565,418.0,92.0,108.0
MC,VS,G-LON,<=15,54228,3.0,5.0,13.0
MC,VS,G-LON,15-30,10357,25.0,6.0,17.0
MC,VS,G-LON,30-45,15407,32.0,6.0,16.0
MC,VS,G-LON,45-90,53296,60.0,5.0,16.0
MC,VS,G-LON,90-180,70030,125.0,6.0,35.0
MC,VS,G-LON,180-360,65469,211.0,50.0,94.0
MC,VS,G-LON,>360,28565,418.0,92.0,109.0
MC,VS,G-RA,<=15,54228,3.0,5.0,13.0
MC,VS,G-RA,15-30,10357,25.0,6.0,17.0
MC,VS,G-RA,30-45,15407,32.0,6.0,16.0
MC,VS,G-RA,45-90,53296,60.0,5.0,16.0
MC,VS,G-RA,90-180,70030,125.0,6.0,36.0
MC,VS,G-RA,180-360,65469,211.0,51.0,94.0
MC,VS,G-RA,>360,28565,418.0,92.0,108.0
ME,CE,G-AZ,<=15,54228,3.0,3.0,18.0
ME,CE,G-AZ,15-30,10357,25.0,4.0,23.0
ME,CE,G-AZ,30-45,15407,32.0,4.0,21.0
ME,CE,G-AZ,45-90,53296,60.0,3.0,17.0
ME,CE,G-AZ,90-180,70030,125.0,5.0,26.0
ME,CE,G-AZ,180-360,65469,211.0,13.0,67.0
ME,CE,G-AZ,>360,28565,418.0,29.0,80.0
ME,JN,G-AZ,<=15,54228,3.0,3.0,14.0
ME,JN,G-AZ,15-30,10357,25.0,4.0,18.0
ME,JN,G-AZ,30-45,15407,32.0,4.0,17.0
ME,JN,G-AZ,45-90,53296,60.0,3.0,14.0
ME,JN,G-AZ,90-180,70030,125.0,4.0,20.0
ME,JN,G-AZ,180-360,65469,211.0,10.0,48.0
ME,JN,G-AZ,>360,28565,418.0,23.0,62.0
ME,JU,G-AZ,<=15,54228,3.0,3.0,15.0
ME,JU,G-AZ,15-30,10357,25.0,4.0,19.0
ME,JU,G-AZ,30-45,15407,32.0,3.0,18.0
ME,JU,G-AZ,45-90,53296,60.0,3.0,15.0
ME,JU,G-AZ,90-180,70030,125.0,4.0,21.0
ME,JU,G-AZ,180-360,65469,211.0,10.0,59.0
ME,JU,G-AZ,>360,28565,418.0,27.0,74.0
ME,MA,G-AZ,<=15,54228,3.0,3.0,16.0
ME,MA,G-AZ,15-30,10357,25.0,4.0,20.0
ME,MA,G-AZ,30-45,15407,32.0,4.0,19.0
ME,MA,G-AZ,45-90,53296,60.0,3.0,15.0
ME,MA,G-AZ,90-180,70030,125.0,4.0,22.0
ME,MA,G-AZ,180-360,65469,211.0,10.0,60.0
ME,MA,G-AZ,>360,28565,418.0,24.0,76.0
ME,NE,G-AZ,<=15,54228,3.0,3.0,17.0
ME,NE,G-AZ,15-30,10357,25.0,4.0,20.0
ME,NE,G-AZ,30-45,15407,32.0,3.0,18.0
ME,NE,G-AZ,45-90,53296,60.0,3.0,16.0
ME,NE,G-AZ,90-180,70030,125.0,4.0,22.0
ME,NE,G-AZ,180-360,65469,211.0,10.0,49.0
ME,NE,G-AZ,>360,28565,418.0,20.0,62.0
ME,NN,G-AZ,<=15,54228,3.0,3.0,15.0
ME,NN,G-AZ,15-30,10357,25.0,3.0,19.0
ME,NN,G-AZ,30-45,15407,32.0,3.0,17.0
ME,NN,G-AZ,45-90,53296,60.0,3.0,14.0
ME,NN,G-AZ,90-180,70030,125.0,4.0,20.0
ME,NN,G-AZ,180-360,65469,211.0,10.0,57.0
ME,NN,G-AZ,>360,28565,418.0,24.0,74.0
ME,PA,G-AZ,<=15,54228,3.0,4.0,17.0
ME,PA,G-AZ,15-30,10357,25.0,5.0,21.0
ME,PA,G-AZ,30-45,15407,32.0,4.0,19.0
ME,PA,G-AZ,45-90,53296,60.0,4.0,16.0
ME,PA,G-AZ,90-180,70030,125.0,5.0,22.0
ME,PA,G-AZ,180-360,65469,211.0,12.0,54.0
ME,PA,G-AZ,>360,28565,418.0,27.0,68.0
ME,PL,G-AZ,<=15,54228,3.0,3.0,17.0
ME,PL,G-AZ,15-30,10357,25.0,4.0,22.0
ME,PL,G-AZ,30-45,15407,32.0,4.0,20.0
ME,PL,G-AZ,45-90,53296,60.0,3.0,16.0
ME,PL,G-AZ,90-180,70030,125.0,4.0,24.0
ME,PL,G-AZ,180-360,65469,211.0,14.0,62.0
ME,PL,G-AZ,>360,28565,418.0,33.0,71.0
ME,SA,G-AZ,<=15,54228,3.0,3.0,16.0
ME,SA,G-AZ,15-30,10357,25.0,4.0,21.0
ME,SA,G-AZ,30-45,15407,32.0,4.0,19.0
ME,SA,G-AZ,45-90,53296,60.0,3.0,16.0
ME,SA,G-AZ,90-180,70030,125.0,4.0,23.0
ME,SA,G-AZ,180-360,65469,211.0,11.0,59.0
ME,SA,G-AZ,>360,28565,418.0,26.0,73.0
ME,SU,G-AZ,<=15,54228,3.0,1.0,7.0
ME,SU,G-AZ,15-30,10357,25.0,1.0,13.0
ME,SU,G-AZ,30-45,15407,32.0,1.0,11.0
ME,SU,G-AZ,45-90,53296,60.0,1.0,7.0
ME,SU,G-AZ,90-180,70030,125.0,2.0,13.0
ME,SU,G-AZ,180-360,65469,211.0,6.0,34.0
ME,SU,G-AZ,>360,28565,418.0,17.0,41.0
ME,UR,G-AZ,<=15,54228,3.0,3.0,14.0
ME,UR,G-AZ,15-30,10357,25.0,3.0,18.0
ME,UR,G-AZ,30-45,15407,32.0,3.0,16.0
ME,UR,G-AZ,45-90,53296,60.0,3.0,14.0
ME,UR,G-AZ,90-180,70030,125.0,4.0,19.0
ME,UR,G-AZ,180-360,65469,211.0,9.0,49.0
ME,UR,G-AZ,>360,28565,418.0,19.0,69.0
ME,VE,G-AZ,<=15,54228,3.0,2.0,12.0
ME,VE,G-AZ,15-30,10357,25.0,3.0,16.0
ME,VE,G-AZ,30-45,15407,32.0,2.0,14.0
ME,VE,G-AZ,45-90,53296,60.0,2.0,11.0
ME,VE,G-AZ,90-180,70030,125.0,3.0,18.0
ME,VE,G-AZ,180-360,65469,211.0,8.0,59.0
ME,VE,G-AZ,>360,28565,418.0,24.0,78.0
ME,VS,G-AZ,<=15,54228,3.0,3.0,16.0
ME,VS,G-AZ,15-30,10357,25.0,4.0,20.0
ME,VS,G-AZ,30-45,15407,32.0,4.0,19.0
ME,VS,G-AZ,45-90,53296,60.0,3.0,16.0
ME,VS,G-AZ,90-180,70030,125.0,4.0,22.0
ME,VS,G-AZ,180-360,65469,211.0,11.0,60.0
ME,VS,G-AZ,>360,28565,418.0,25.0,75.0
MO,CE,G-AZ,<=15,54228,3.0,3.0,19.0
MO,CE,G-AZ,15-30,10357,25.0,4.0,23.0
MO,CE,G-AZ,30-45,15407,32.0,4.0,20.0
MO,CE,G-AZ,45-90,53296,60.0,3.0,18.0
MO,CE,G-AZ,90-180,70030,125.0,5.0,24.0
MO,CE,G-AZ,180-360,65469,211.0,12.0,67.0
MO,CE,G-AZ,>360,28565,418.0,30.0,85.0
MO,CE,G-LON,<=15,54228,3.0,0.0,0.0
MO,CE,G-LON,15-30,10357,25.0,0.0,1.0
MO,CE,G-LON,30-45,15407,32.0,0.0,1.0
MO,CE,G-LON,45-90,53296,60.0,1.0,1.0
MO,CE,G-LON,90-180,70030,125.0,1.0,2.0
MO,CE,G-LON,180-360,65469,211.0,2.0,3.0
MO,CE,G-LON,>360,28565,418.0,4.0,5.0
MO,CE,G-RA,<=15,54228,3.0,0.0,0.0
MO,CE,G-RA,15-30,10357,25.0,0.0,1.0
MO,CE,G-RA,30-45,15407,32.0,0.0,1.0
MO,CE,G-RA,45-90,53296,60.0,1.0,1.0
MO,CE,G-RA,90-180,70030,125.0,1.0,2.0
MO,CE,G-RA,180-360,65469,211.0,2.0,3.0
MO,CE,G-RA,>360,28565,418.0,4.0,5.0
MO,JN,G-AZ,<=15,54228,3.0,3.0,15.0
MO,JN,G-AZ,15-30,10357,25.0,4.0,16.0
MO,JN,G-AZ,30-45,15407,32.0,3.0,15.0
MO,JN,G-AZ,45-90,53296,60.0,3.0,14.0
MO,JN,G-AZ,90-180,70030,125.0,4.0,19.0
MO,JN,G-AZ,180-360,65469,211.0,11.0,52.0
MO,JN,G-AZ,>360,28565,418.0,26.0,65.0
MO,JN,G-LON,<=15,54228,3.0,0.0,0.0
MO,JN,G-LON,15-30,10357,25.0,0.0,1.0
MO,JN,G-LON,30-45,15407,32.0,0.0,1.0
MO,JN,G-LON,45-90,53296,60.0,1.0,1.0
MO,JN,G-LON,90-180,70030,125.0,1.0,2.0
MO,JN,G-LON,180-360,65469,211.0,2.0,3.0
MO,JN,G-LON,>360,28565,418.0,4.0,5.0
MO,JN,G-RA,<=15,54228,3.0,0.0,0.0
MO,JN,G-RA,15-30,10357,25.0,0.0,1.0
MO,JN,G-RA,30-45,15407,32.0,0.0,1.0
MO,JN,G-RA,45-90,53296,60.0,1.0,1.0
MO,JN,G-RA,90-180,70030,125.0,1.0,2.0
MO,JN,G-RA,180-360,65469,211.0,2.0,3.0
MO,JN,G-RA,>360,28565,418.0,4.0,5.0
MO,JU,G-AZ,<=15,54228,3.0,3.0,16.0
MO,JU,G-AZ,15-30,10357,25.0,3.0,18.0
MO,JU,G-AZ,30-45,15407,32.0,3.0,18.0
MO,JU,G-AZ,45-90,53296,60.0,3.0,15.0
MO,JU,G-AZ,90-180,70030,125.0,4.0,21.0
MO,JU,G-AZ,180-360,65469,211.0,11.0,60.0
MO,JU,G-AZ,>360,28565,418.0,26.0,77.0
MO,JU,G-LON,<=15,54228,3.0,0.0,0.0
MO,JU,G-LON,15-30,10357,25.0,0.0,1.0
MO,JU,G-LON,30-45,15407,32.0,0.0,1.0
MO,JU,G-LON,45-90,53296,60.0,1.0,1.0
MO,JU,G-LON,90-180,70030,125.0,1.0,2.0
MO,JU,G-LON,180-360,65469,211.0,2.0,3.0
MO,JU,G-LON,>360,28565,418.0,4.0,5.0
MO,JU,G-RA,<=15,54228,3.0,0.0,0.0
MO,JU,G-RA,15-30,10357,25.0,0.0,1.0
MO,JU,G-RA,30-45,15407,32.0,0.0,1.0
MO,JU,G-RA,45-90,53296,60.0,1.0,1.0
MO,JU,G-RA,90-180,70030,125.0,1.0,2.0
MO,JU,G-RA,180-360,65469,211.0,2.0,3.0
MO,JU,G-RA,>360,28565,418.0,4.0,5.0
MO,MA,G-AZ,<=15,54228,3.0,3.0,16.0
MO,MA,G-AZ,15-30,10357,25.0,4.0,20.0
MO,MA,G-AZ,30-45,15407,32.0,3.0,18.0
MO,MA,G-AZ,45-90,53296,60.0,3.0,16.0
MO,MA,G-AZ,90-180,70030,125.0,4.0,22.0
MO,MA,G-AZ,180-360,65469,211.0,11.0,65.0
MO,MA,G-AZ,>360,28565,418.0,25.0,80.0
MO,MA,G-LON,<=15,54228,3.0,0.0,0.0
MO,MA,G-LON,15-30,10357,25.0,0.0,1.0
MO,MA,G-LON,30-45,15407,32.0,0.0,1.0
MO,MA,G-LON,45-90,53296,60.0,1.0,1.0
MO,MA,G-LON,90-180,70030,125.0,1.0,2.0
MO,MA,G-LON,180-360,65469,211.0,2.0,3.0
MO,MA,G-LON,>360,28565,418.0,4.0,5.0
MO,MA,G-RA,<=15,54228,3.0,0.0,0.0
MO,MA,G-RA,15-30,10357,25.0,0.0,1.0
MO,MA,G-RA,30-45,15407,32.0,0.0,1.0
MO,MA,G-RA,45-90,53296,60.0,1.0,1.0
MO,MA,G-RA,90-180,70030,125.0,1.0,2.0
MO,MA,G-RA,180-360,65469,211.0,2.0,3.0
MO,MA,G-RA,>360,28565,418.0,4.0,5.0
MO,ME,G-AZ,<=15,54228,3.0,3.0,16.0
MO,ME,G-AZ,15-30,10357,25.0,4.0,20.0
MO,ME,G-AZ,30-45,15407,32.0,3.0,19.0
MO,ME,G-AZ,45-90,53296,60.0,3.0,15.0
MO,ME,G-AZ,90-180,70030,125.0,4.0,22.0
MO,ME,G-AZ,180-360,65469,211.0,10.0,58.0
MO,ME,G-AZ,>360,28565,418.0,26.0,75.0
MO,ME,G-LON,<=15,54228,3.0,0.0,0.0
MO,ME,G-LON,15-30,10357,25.0,0.0,1.0
MO,ME,G-LON,30-45,15407,32.0,0.0,1.0
MO,ME,G-LON,45-90,53296,60.0,1.0,1.0
MO,ME,G-LON,90-180,70030,125.0,1.0,2.0
MO,ME,G-LON,180-360,65469,211.0,2.0,3.0
MO,ME,G-LON,>360,28565,418.0,4.0,5.0
MO,ME,G-RA,<=15,54228,3.0,0.0,0.0
MO,ME,G-RA,15-30,10357,25.0,0.0,1.0
MO,ME,G-RA,30-45,15407,32.0,0.0,1.0
MO,ME,G-RA,45-90,53296,60.0,1.0,1.0
MO,ME,G-RA,90-180,70030,125.0,1.0,2.0
MO,ME,G-RA,180-360,65469,211.0,2.0,3.0
MO,ME,G-RA,>360,28565,418.0,4.0,5.0
MO,NE,G-AZ,<=15,54228,3.0,3.0,16.0
MO,NE,G-AZ,15-30,10357,25.0,3.0,18.0
MO,NE,G-AZ,30-45,15407,32.0,3.0,16.0
MO,NE,G-AZ,45-90,53296,60.0,3.0,15.0
MO,NE,G-AZ,90-180,70030,125.0,4.0,20.0
MO,NE,G-AZ,180-360,65469,211.0,10.0,58.0
MO,NE,G-AZ,>360,28565,418.0,26.0,73.0
MO,NE,G-LON,<=15,54228,3.0,0.0,0.0
MO,NE,G-LON,15-30,10357,25.0,0.0,1.0
MO,NE,G-LON,30-45,15407,32.0,0.0,1.0
MO,NE,G-LON,45-90,53296,60.0,1.0,1.0
MO,NE,G-LON,90-180,70030,125.0,1.0,2.0
MO,NE,G-LON,180-360,65469,211.0,2.0,3.0
MO,NE,G-LON,>360,28565,418.0,4.0,5.0
MO,NE,G-RA,<=15,54228,3.0,0.0,0.0
MO,NE,G-RA,15-30,10357,25.0,0.0,1.0
MO,NE,G-RA,30-45,15407,32.0,0.0,1.0
MO,NE,G-RA,45-90,53296,60.0,1.0,1.0
MO,NE,G-RA,90-180,70030,125.0,1.0,2.0
MO,NE,G-RA,180-360,65469,211.0,2.0,3.0
MO,NE,G-RA,>360,28565,418.0,4.0,5.0
MO,NN,G-AZ,<=15,54228,3.0,3.0,16.0
MO,NN,G-AZ,15-30,10357,25.0,4.0,19.0
MO,NN,G-AZ,30-45,15407,32.0,3.0,17.0
MO,NN,G-AZ,45-90,53296,60.0,3.0,15.0
MO,NN,G-AZ,90-180,70030,125.0,4.0,20.0
MO,NN,G-AZ,180-360,65469,211.0,10.0,58.0
MO,NN,G-AZ,>360,28565,418.0,25.0,76.0
