origin,body,frame,file,n_events,n_pairs,n_near45,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,samedate_sep_median,samedate_sep_p90,daily_drift_med_deg_per_day,operational_scale_flag
Asc,NE,G-RA,Asc_x_NE_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.6689980882814,same-slate-discriminator
Asc,NN,G-LON,Asc_x_NN_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.02720716306979,same-slate-discriminator
Asc,NN,G-RA,Asc_x_NN_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,21.680013730436215,same-slate-discriminator
Asc,PA,G-AZ,Asc_x_PA_G-AZ,46152,297352,80481,5.0,19.0,5.0,8.0,68.0,,same-slate-discriminator
Asc,PA,G-LON,Asc_x_PA_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.0,same-slate-discriminator
Asc,PA,G-RA,Asc_x_PA_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.615997950402527,same-slate-discriminator
Asc,PL,G-LON,Asc_x_PL_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.007851481245353,same-slate-discriminator
Asc,PL,G-RA,Asc_x_PL_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.695536468578748,same-slate-discriminator
Asc,SA,G-LON,Asc_x_SA_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.0,same-slate-discriminator
Asc,SA,G-RA,Asc_x_SA_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.66048062124311,same-slate-discriminator
Asc,SU,G-AZ,Asc_x_SU_G-AZ,46152,297352,80481,5.0,23.0,4.0,9.0,86.0,,same-slate-discriminator
Asc,SU,G-LON,Asc_x_SU_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.322098695790913,same-slate-discriminator
Asc,SU,G-RA,Asc_x_SU_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.827321710545675,same-slate-discriminator
Asc,UR,G-AZ,Asc_x_UR_G-AZ,46152,297352,80481,5.0,18.0,5.0,9.0,76.0,,same-slate-discriminator
Asc,UR,G-LON,Asc_x_UR_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.02720716306979,same-slate-discriminator
Asc,UR,G-RA,Asc_x_UR_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,21.72554430228223,same-slate-discriminator
Asc,VE,G-LON,Asc_x_VE_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.198489811813715,same-slate-discriminator
Asc,VE,G-RA,Asc_x_VE_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.87694205015157,same-slate-discriminator
Asc,VS,G-LON,Asc_x_VS_G-LON,46152,297352,80481,5.0,16.0,5.0,8.0,76.0,22.034129017080375,same-slate-discriminator
Asc,VS,G-RA,Asc_x_VS_G-RA,46152,297352,80481,5.0,16.0,5.0,8.0,75.0,21.709426546837022,same-slate-discriminator
EA G-LON,MO,G-LON_x_G-RA,EA_G-LON_x_MO_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,85.0,27.244101278070822,same-slate-discriminator
EA G-RA,MO,G-RA_x_G-LON,EA_G-RA_x_MO_G-LON,46152,297352,80481,5.0,14.0,5.0,8.0,85.0,27.34033566562253,same-slate-discriminator
EA,CE,G-LON,EA_x_CE_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.713348880179936,same-slate-discriminator
EA,CE,G-RA,EA_x_CE_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.5,same-slate-discriminator
EA,JN,G-LON,EA_x_JN_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.754327186019864,same-slate-discriminator
EA,JN,G-RA,EA_x_JN_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.508147111260122,same-slate-discriminator
EA,JU,G-LON,EA_x_JU_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.65344765393251,same-slate-discriminator
EA,JU,G-RA,EA_x_JU_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.465653248316784,same-slate-discriminator
EA,MA,G-LON,EA_x_MA_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.713219706384734,same-slate-discriminator
EA,MA,G-RA,EA_x_MA_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.53658967851041,same-slate-discriminator
EA,ME,G-AZ,EA_x_ME_G-AZ,46152,297352,80481,5.0,20.0,4.0,7.0,96.0,,same-slate-discriminator
EA,ME,G-LON,EA_x_ME_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.79597822416322,same-slate-discriminator
EA,ME,G-RA,EA_x_ME_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.71730389994994,same-slate-discriminator
EA,MO,G-LON,EA_x_MO_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,85.0,27.39115058936062,same-slate-discriminator
EA,MO,G-RA,EA_x_MO_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,85.0,27.233748567744854,same-slate-discriminator
EA,NE,G-LON,EA_x_NE_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.68722713265413,same-slate-discriminator
EA,NE,G-RA,EA_x_NE_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.51911336902029,same-slate-discriminator
EA,NN,G-LON,EA_x_NN_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.68409816319962,same-slate-discriminator
EA,NN,G-RA,EA_x_NN_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.465433418617778,same-slate-discriminator
EA,PA,G-LON,EA_x_PA_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.679315174840298,same-slate-discriminator
EA,PA,G-RA,EA_x_PA_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.5,same-slate-discriminator
EA,PL,G-LON,EA_x_PL_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.717077061939904,same-slate-discriminator
EA,PL,G-RA,EA_x_PL_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.49008723851972,same-slate-discriminator
EA,SA,G-LON,EA_x_SA_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.646649404180664,same-slate-discriminator
EA,SA,G-RA,EA_x_SA_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.500000000000014,same-slate-discriminator
EA,SU,G-LON,EA_x_SU_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.754567020811777,same-slate-discriminator
EA,SU,G-RA,EA_x_SU_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.638422310871647,same-slate-discriminator
EA,UR,G-LON,EA_x_UR_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.65430403840574,same-slate-discriminator
EA,UR,G-RA,EA_x_UR_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.556806200204278,same-slate-discriminator
EA,VE,G-AZ,EA_x_VE_G-AZ,46152,297352,80481,5.0,18.0,5.0,8.0,90.0,,same-slate-discriminator
EA,VE,G-LON,EA_x_VE_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.68409816319962,same-slate-discriminator
EA,VE,G-RA,EA_x_VE_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.704825271646854,same-slate-discriminator
EA,VS,G-LON,EA_x_VS_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.779285759191033,same-slate-discriminator
EA,VS,G-RA,EA_x_VS_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.51203427208988,same-slate-discriminator
MC G-LON,MO,G-LON_x_G-RA,MC_G-LON_x_MO_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,85.0,27.102168628898298,same-slate-discriminator
MC G-RA,MO,G-RA_x_G-LON,MC_G-RA_x_MO_G-LON,46152,297352,80481,5.0,14.0,5.0,8.0,85.0,27.34033566562252,same-slate-discriminator
MC,CE,G-LON,MC_x_CE_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.444062742306812,same-slate-discriminator
MC,CE,G-RA,MC_x_CE_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.5,same-slate-discriminator
MC,JN,G-LON,MC_x_JN_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.564049674280973,same-slate-discriminator
MC,JN,G-RA,MC_x_JN_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.508147111260115,same-slate-discriminator
MC,JU,G-LON,MC_x_JU_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.498135445050593,same-slate-discriminator
MC,JU,G-RA,MC_x_JU_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.465653248316812,same-slate-discriminator
MC,MA,G-LON,MC_x_MA_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.614764269390236,same-slate-discriminator
MC,MA,G-RA,MC_x_MA_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.53658967851044,same-slate-discriminator
MC,ME,G-LON,MC_x_ME_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.647962575832366,same-slate-discriminator
MC,ME,G-RA,MC_x_ME_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.71730389994991,same-slate-discriminator
MC,MO,G-LON,MC_x_MO_G-LON,46152,297352,80481,5.0,14.0,5.0,8.0,85.0,27.051002980932353,same-slate-discriminator
MC,MO,G-RA,MC_x_MO_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,85.0,27.23374856774484,same-slate-discriminator
MC,NE,G-LON,MC_x_NE_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.41760741283609,same-slate-discriminator
MC,NE,G-RA,MC_x_NE_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.519113369020317,same-slate-discriminator
MC,NN,G-LON,MC_x_NN_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.407242103878815,same-slate-discriminator
MC,NN,G-RA,MC_x_NN_G-RA,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.465433418617806,same-slate-discriminator
MC,PA,G-LON,MC_x_PA_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.48843233907911,same-slate-discriminator
MC,PA,G-RA,MC_x_PA_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.499999999999986,same-slate-discriminator
MC,PL,G-LON,MC_x_PL_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.443617432941878,same-slate-discriminator
MC,PL,G-RA,MC_x_PL_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.490087238519756,same-slate-discriminator
MC,SA,G-LON,MC_x_SA_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.453146265411647,same-slate-discriminator
MC,SA,G-RA,MC_x_SA_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.5,same-slate-discriminator
MC,SU,G-LON,MC_x_SU_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.738907494128796,same-slate-discriminator
MC,SU,G-RA,MC_x_SU_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.638422310871704,same-slate-discriminator
MC,UR,G-LON,MC_x_UR_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.418110929446726,same-slate-discriminator
MC,UR,G-RA,MC_x_UR_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.556806200204335,same-slate-discriminator
MC,VE,G-LON,MC_x_VE_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.75511708306493,same-slate-discriminator
MC,VE,G-RA,MC_x_VE_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.704825271646826,same-slate-discriminator
MC,VS,G-LON,MC_x_VS_G-LON,46152,297352,80481,5.0,15.0,5.0,8.0,88.0,23.463069322326874,same-slate-discriminator
MC,VS,G-RA,MC_x_VS_G-RA,46152,297352,80481,5.0,14.0,5.0,8.0,88.0,23.51203427208988,same-slate-discriminator
Asc,PFdn,G-LON,Asc_x_PFdn_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,4.0,12.193744628790398,slow-contextual
Asc,PFdn,G-RA,Asc_x_PFdn_G-RA,46152,297352,80481,0.0,2.0,1.0,1.0,9.0,12.236758364622226,slow-contextual
Asc,PFff,G-LON,Asc_x_PFff_G-LON,46152,297352,80481,0.0,0.0,1.0,1.0,3.0,12.0,slow-contextual
Asc,PFff,G-RA,Asc_x_PFff_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,5.0,12.000000000000004,slow-contextual
MO,CE,G-LON,MO_x_CE_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.799990953913408,slow-contextual
MO,CE,G-RA,MO_x_CE_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.78570518222628,slow-contextual
MO,JN,G-LON,MO_x_JN_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.800016653112834,slow-contextual
MO,JN,G-RA,MO_x_JN_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.783199569535071,slow-contextual
MO,JU,G-LON,MO_x_JU_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.933330655567914,slow-contextual
MO,JU,G-RA,MO_x_JU_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.933391711924742,slow-contextual
MO,MA,G-LON,MO_x_MA_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.466731186721265,slow-contextual
MO,MA,G-RA,MO_x_MA_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.466709150261067,slow-contextual
MO,ME,G-LON,MO_x_ME_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,11.999999999999972,slow-contextual
MO,ME,G-RA,MO_x_ME_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.0,slow-contextual
MO,NE,G-LON,MO_x_NE_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,13.0,slow-contextual
MO,NE,G-RA,MO_x_NE_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,13.0,slow-contextual
MO,NN,G-LON,MO_x_NN_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,13.0,slow-contextual
MO,NN,G-RA,MO_x_NN_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,13.000000000000028,slow-contextual
MO,PA,G-LON,MO_x_PA_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.799974557684834,slow-contextual
MO,PA,G-RA,MO_x_PA_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.80441403201462,slow-contextual
MO,PL,G-LON,MO_x_PL_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,13.0,slow-contextual
MO,PL,G-RA,MO_x_PL_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,13.0,slow-contextual
MO,SA,G-LON,MO_x_SA_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.993900351971906,slow-contextual
MO,SA,G-RA,MO_x_SA_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,13.0,slow-contextual
MO,SU,G-LON,MO_x_SU_G-LON,46152,297352,80481,0.0,0.0,1.0,1.0,3.0,12.0,slow-contextual
MO,SU,G-RA,MO_x_SU_G-RA,46152,297352,80481,0.0,0.0,1.0,1.0,3.0,12.000000000000028,slow-contextual
MO,UR,G-LON,MO_x_UR_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.999999999999998,slow-contextual
MO,UR,G-RA,MO_x_UR_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,13.0,slow-contextual
MO,VE,G-LON,MO_x_VE_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.0,slow-contextual
MO,VE,G-RA,MO_x_VE_G-RA,46152,297352,80481,0.0,0.0,1.0,1.0,3.0,11.999999999999943,slow-contextual
MO,VS,G-LON,MO_x_VS_G-LON,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.733416782898331,slow-contextual
MO,VS,G-RA,MO_x_VS_G-RA,46152,297352,80481,0.0,1.0,1.0,1.0,3.0,12.733432213964193,slow-contextual
