feature_id,origin,body,frame,operational_class_provisional,resolution_mode,recommended_resolution_deg,near45_sep_median,near45_sep_p90,velocity_robust_deg_per_hr,daily_drift_deg_per_day,n_pairs,n_near45,dt_bin_profile_ref,exploratory_only,audit_version,master_sha256,timestamp_utc
Asc_G-AZ_x_MO_G-LON,Asc G-AZ,MO,G-AZ_x_G-LON,marginal,same-slate,2,2.0,7.0,2.0,13.86018332121963,297352,80481,Asc_G-AZ_x_MO_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_G-AZ_x_MO_G-RA,Asc G-AZ,MO,G-AZ_x_G-RA,marginal,same-slate,2,2.0,7.0,2.0,13.780763887052444,297352,80481,Asc_G-AZ_x_MO_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_G-LON_x_MO_G-AZ,Asc G-LON,MO,G-LON_x_G-AZ,marginal,same-slate,3,3.0,13.0,3.0,13.228924953832916,297352,80481,Asc_G-LON_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_G-RA_x_MO_G-AZ,Asc G-RA,MO,G-RA_x_G-AZ,marginal,same-slate,3,3.0,13.0,3.0,13.16459916562593,297352,80481,Asc_G-RA_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PFdn_G-LON,EA,PFdn,G-LON,marginal,same-slate,3,3.0,9.0,3.0,12.800040480971902,297352,80481,EA_x_PFdn_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PFdn_G-RA,EA,PFdn,G-RA,marginal,same-slate,3,3.0,9.0,3.0,12.980995009502363,297352,80481,EA_x_PFdn_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PFff_G-LON,EA,PFff,G-LON,marginal,same-slate,2,2.0,7.0,2.0,12.465614601631074,297352,80481,EA_x_PFff_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_PFff_G-RA,EA,PFff,G-RA,marginal,same-slate,2,2.0,8.0,3.0,12.59140647198604,297352,80481,EA_x_PFff_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_x_SU_G-AZ,EA,SU,G-AZ,marginal,same-slate,4,4.0,23.0,4.0,,297352,80481,EA_x_SU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_G-AZ_x_MO_G-LON,EA G-AZ,MO,G-AZ_x_G-LON,marginal,same-slate,2,2.0,4.0,1.0,13.428893435292366,297352,80481,EA_G-AZ_x_MO_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_G-AZ_x_MO_G-RA,EA G-AZ,MO,G-AZ_x_G-RA,marginal,same-slate,2,2.0,4.0,1.0,13.333333333333334,297352,80481,EA_G-AZ_x_MO_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_G-LON_x_MO_G-AZ,EA G-LON,MO,G-LON_x_G-AZ,marginal,same-slate,3,3.0,12.0,3.0,13.499698712770927,297352,80481,EA_G-LON_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
EA_G-RA_x_MO_G-AZ,EA G-RA,MO,G-RA_x_G-AZ,marginal,same-slate,3,3.0,12.0,3.0,13.44293865199728,297352,80481,EA_G-RA_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_PFdn_G-LON,MC,PFdn,G-LON,marginal,same-slate,3,3.0,9.0,3.0,12.974264225889383,297352,80481,MC_x_PFdn_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_PFdn_G-RA,MC,PFdn,G-RA,marginal,same-slate,3,3.0,9.0,3.0,12.980995009502353,297352,80481,MC_x_PFdn_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_PFff_G-LON,MC,PFff,G-LON,marginal,same-slate,2,2.0,8.0,3.0,12.60709071398309,297352,80481,MC_x_PFff_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_x_PFff_G-RA,MC,PFff,G-RA,marginal,same-slate,2,2.0,8.0,3.0,12.591406471986042,297352,80481,MC_x_PFff_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_G-LON_x_MO_G-AZ,MC G-LON,MO,G-LON_x_G-AZ,marginal,same-slate,3,3.0,12.0,3.0,13.488149952376377,297352,80481,MC_G-LON_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MC_G-RA_x_MO_G-AZ,MC G-RA,MO,G-RA_x_G-AZ,marginal,same-slate,3,3.0,12.0,3.0,13.442938651997338,297352,80481,MC_G-RA_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_CE_G-AZ,ME,CE,G-AZ,marginal,same-slate,3,3.0,20.0,3.0,,297352,80481,ME_x_CE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_JN_G-AZ,ME,JN,G-AZ,marginal,same-slate,3,3.0,15.0,3.0,,297352,80481,ME_x_JN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_JU_G-AZ,ME,JU,G-AZ,marginal,same-slate,3,3.0,16.0,3.0,,297352,80481,ME_x_JU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_MA_G-AZ,ME,MA,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,ME_x_MA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_NE_G-AZ,ME,NE,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,ME_x_NE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_NN_G-AZ,ME,NN,G-AZ,marginal,same-slate,3,3.0,16.0,3.0,,297352,80481,ME_x_NN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_PA_G-AZ,ME,PA,G-AZ,marginal,same-slate,4,4.0,18.0,4.0,,297352,80481,ME_x_PA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_PL_G-AZ,ME,PL,G-AZ,marginal,same-slate,3,3.0,18.0,3.0,,297352,80481,ME_x_PL_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_SA_G-AZ,ME,SA,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,ME_x_SA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_SU_G-AZ,ME,SU,G-AZ,marginal,same-slate,1,1.0,8.0,1.0,,297352,80481,ME_x_SU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_UR_G-AZ,ME,UR,G-AZ,marginal,same-slate,3,3.0,15.0,3.0,,297352,80481,ME_x_UR_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_VE_G-AZ,ME,VE,G-AZ,marginal,same-slate,2,2.0,13.0,2.0,,297352,80481,ME_x_VE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
ME_x_VS_G-AZ,ME,VS,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,ME_x_VS_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_CE_G-AZ,MO,CE,G-AZ,marginal,same-slate,3,3.0,20.0,3.0,,297352,80481,MO_x_CE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_JN_G-AZ,MO,JN,G-AZ,marginal,same-slate,3,3.0,15.0,3.0,,297352,80481,MO_x_JN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_JU_G-AZ,MO,JU,G-AZ,marginal,same-slate,3,3.0,16.0,3.0,,297352,80481,MO_x_JU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_MA_G-AZ,MO,MA,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,MO_x_MA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_ME_G-AZ,MO,ME,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,MO_x_ME_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_NE_G-AZ,MO,NE,G-AZ,marginal,same-slate,3,3.0,16.0,3.0,,297352,80481,MO_x_NE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_NN_G-AZ,MO,NN,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,MO_x_NN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_PA_G-AZ,MO,PA,G-AZ,marginal,same-slate,4,4.0,17.0,4.0,,297352,80481,MO_x_PA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_PL_G-AZ,MO,PL,G-AZ,marginal,same-slate,3,3.0,18.0,3.0,,297352,80481,MO_x_PL_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_SA_G-AZ,MO,SA,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,MO_x_SA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_SU_G-AZ,MO,SU,G-AZ,marginal,same-slate,3,3.0,18.0,3.0,,297352,80481,MO_x_SU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_UR_G-AZ,MO,UR,G-AZ,marginal,same-slate,3,3.0,15.0,3.0,,297352,80481,MO_x_UR_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_VE_G-AZ,MO,VE,G-AZ,marginal,same-slate,3,3.0,16.0,3.0,,297352,80481,MO_x_VE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
MO_x_VS_G-AZ,MO,VS,G-AZ,marginal,same-slate,3,3.0,17.0,3.0,,297352,80481,MO_x_VS_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
VX_x_PFdn_G-LON,VX,PFdn,G-LON,marginal,same-slate,4,4.0,24.0,3.0,15.13308856213888,297352,80481,VX_x_PFdn_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
VX_x_PFdn_G-RA,VX,PFdn,G-RA,marginal,same-slate,4,4.0,25.0,4.0,15.473269672239482,297352,80481,VX_x_PFdn_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
VX_x_PFff_G-LON,VX,PFff,G-LON,marginal,same-slate,4,4.0,16.0,3.0,14.765662404500064,297352,80481,VX_x_PFff_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
VX_x_PFff_G-RA,VX,PFff,G-RA,marginal,same-slate,4,4.0,17.0,3.0,15.06386703183739,297352,80481,VX_x_PFff_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
VX_G-LON_x_MO_G-AZ,VX G-LON,MO,G-LON_x_G-AZ,marginal,same-slate,3,3.0,19.0,3.0,14.08544061315169,297352,80481,VX_G-LON_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
VX_G-RA_x_MO_G-AZ,VX G-RA,MO,G-RA_x_G-AZ,marginal,same-slate,3,3.0,20.0,3.0,14.16591494810084,297352,80481,VX_G-RA_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_CE_G-AZ,Asc,CE,G-AZ,same-slate-discriminator,same-slate,6,6.0,22.0,6.0,,297352,80481,Asc_x_CE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_CE_G-LON,Asc,CE,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.11632590720677,297352,80481,Asc_x_CE_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_CE_G-RA,Asc,CE,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.710131204920486,297352,80481,Asc_x_CE_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_JN_G-AZ,Asc,JN,G-AZ,same-slate-discriminator,same-slate,6,6.0,18.0,5.0,,297352,80481,Asc_x_JN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_JN_G-LON,Asc,JN,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.06409208178608,297352,80481,Asc_x_JN_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_JN_G-RA,Asc,JN,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.73553564608062,297352,80481,Asc_x_JN_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_JU_G-AZ,Asc,JU,G-AZ,same-slate-discriminator,same-slate,6,6.0,19.0,5.0,,297352,80481,Asc_x_JU_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_JU_G-LON,Asc,JU,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.05504430142193,297352,80481,Asc_x_JU_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_JU_G-RA,Asc,JU,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.67836727570653,297352,80481,Asc_x_JU_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_MA_G-AZ,Asc,MA,G-AZ,same-slate-discriminator,same-slate,6,6.0,21.0,6.0,,297352,80481,Asc_x_MA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_MA_G-LON,Asc,MA,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.198866936840854,297352,80481,Asc_x_MA_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_MA_G-RA,Asc,MA,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.81740985900501,297352,80481,Asc_x_MA_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_ME_G-AZ,Asc,ME,G-AZ,same-slate-discriminator,same-slate,5,5.0,20.0,5.0,,297352,80481,Asc_x_ME_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_ME_G-LON,Asc,ME,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.12440785424289,297352,80481,Asc_x_ME_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_ME_G-RA,Asc,ME,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.82140957584167,297352,80481,Asc_x_ME_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_MO_G-AZ,Asc,MO,G-AZ,same-slate-discriminator,same-slate,6,6.0,20.0,5.0,,297352,80481,Asc_x_MO_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_MO_G-LON,Asc,MO,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,25.78612153008561,297352,80481,Asc_x_MO_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_MO_G-RA,Asc,MO,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,25.47336685353997,297352,80481,Asc_x_MO_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_NE_G-AZ,Asc,NE,G-AZ,same-slate-discriminator,same-slate,7,7.0,20.0,6.0,,297352,80481,Asc_x_NE_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_NE_G-LON,Asc,NE,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.03859881190004,297352,80481,Asc_x_NE_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_NE_G-RA,Asc,NE,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.6689980882814,297352,80481,Asc_x_NE_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_NN_G-AZ,Asc,NN,G-AZ,same-slate-discriminator,same-slate,6,6.0,19.0,5.0,,297352,80481,Asc_x_NN_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_NN_G-LON,Asc,NN,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.02720716306979,297352,80481,Asc_x_NN_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_NN_G-RA,Asc,NN,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.68001373043621,297352,80481,Asc_x_NN_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_PA_G-AZ,Asc,PA,G-AZ,same-slate-discriminator,same-slate,5,5.0,19.0,5.0,,297352,80481,Asc_x_PA_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_PA_G-LON,Asc,PA,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.0,297352,80481,Asc_x_PA_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_PA_G-RA,Asc,PA,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.615997950402527,297352,80481,Asc_x_PA_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_PL_G-AZ,Asc,PL,G-AZ,same-slate-discriminator,same-slate,6,6.0,21.0,6.0,,297352,80481,Asc_x_PL_G-AZ,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_PL_G-LON,Asc,PL,G-LON,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,22.007851481245357,297352,80481,Asc_x_PL_G-LON,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
Asc_x_PL_G-RA,Asc,PL,G-RA,same-slate-discriminator,same-slate,5,5.0,16.0,5.0,21.695536468578748,297352,80481,Asc_x_PL_G-RA,True,v2.1,e5a6bad6c54a5460c25674dd0a9aa61a5c3bd3c6c48c054568829262744ccdd1,2026-05-28T22:26:24Z
