feature_id,sel_freq,amplitude,origin_class,frame_pair,HS_sup,LS_sup,target_body,seasonal_candidate,slow_target,HS_peak,LS_peak
Asc G-AZ x UR H-LON,1.0,0.3039673071076071,angle,G-AZ x H-LON,True,True,UR,False,True,196,324
EA G-AZ x SA H-LON,1.0,0.22914328313769608,angle,G-AZ x H-LON,True,True,SA,False,True,314,335
Asc G-AZ x JN H-LON,1.0,0.1792921079646279,angle,G-AZ x H-LON,True,True,JN,False,False,28,317
VX G-RA x Ear H-LON,1.0,0.1630539688198556,angle,G-RA x H-LON,False,False,Ear,True,True,111,82
EA G-AZ x JU H-LON,0.98,0.15263176380893007,angle,G-AZ x H-LON,True,True,JU,False,False,169,32
VE x CE H-LON,1.0,0.10184637938790016,helio,H-LON x H-LON,True,True,CE,False,False,154,76
EA G-AZ x PA H-LON,0.96,0.09574352420871338,angle,G-AZ x H-LON,True,True,PA,False,False,65,342
Asc G-AZ x VE H-LON,1.0,0.08471223667449045,angle,G-AZ x H-LON,True,True,VE,False,False,142,52
EA G-AZ x VS H-LON,0.94,0.0813504285480841,angle,G-AZ x H-LON,True,True,VS,False,False,169,25
VE x JN H-LON,1.0,0.07704538506965324,helio,H-LON x H-LON,True,True,JN,False,False,120,293
VE x Ear H-LON,1.0,0.07102073052493513,helio,H-LON x H-LON,True,True,Ear,True,True,356,16
Asc G-AZ x Ear H-LON,0.96,0.0622882313595063,angle,G-AZ x H-LON,False,False,Ear,True,True,83,84
MO G-AZ x CE H-LON,1.0,0.06045807904094745,moon,G-AZ x H-LON,True,True,CE,False,False,206,231
Asc G-RA x VE H-LON,1.0,0.05901131048429489,angle,G-RA x H-LON,True,True,VE,False,False,197,331
Asc G-AZ x PA H-LON,0.96,0.05694660760759469,angle,G-AZ x H-LON,True,True,PA,False,False,54,15
Asc G-RA x Ear H-LON,0.72,0.051117731073838685,angle,G-RA x H-LON,False,False,Ear,True,True,281,255
EA G-LON x NE H-LON,0.84,0.049430756106621704,angle,G-LON x H-LON,False,True,NE,False,True,263,231
EA G-AZ x MA H-LON,0.9,0.04783656162671647,angle,G-AZ x H-LON,True,True,MA,False,False,31,306
VX G-LON x SA H-LON,0.78,0.04498405726865651,angle,G-LON x H-LON,True,True,SA,False,True,17,240
VX G-RA x JN H-LON,0.96,0.041680166759263976,angle,G-RA x H-LON,True,True,JN,False,False,14,265
MO G-LON x NE H-LON,0.94,0.040534292537513526,moon,G-LON x H-LON,True,True,NE,False,True,314,72
MO G-AZ x VE H-LON,1.0,0.03923652483645795,moon,G-AZ x H-LON,True,True,VE,False,False,205,315
EA G-AZ x JN H-LON,0.9,0.03854352335236232,angle,G-AZ x H-LON,True,True,JN,False,False,34,68
VX G-RA x NE H-LON,0.7,0.037135126264693584,angle,G-RA x H-LON,True,True,NE,False,True,67,108
MC G-LON x Ear H-LON,0.62,0.03678687756433399,angle,G-LON x H-LON,True,False,Ear,True,True,155,1
VE x JU H-LON,0.94,0.03600484778206357,helio,H-LON x H-LON,True,True,JU,False,False,75,324
VX G-RA x VS H-LON,0.82,0.032991342599874976,angle,G-RA x H-LON,True,True,VS,False,False,300,329
ME x VE H-LON,0.96,0.03020989029476621,helio,H-LON x H-LON,True,True,VE,False,False,237,8
Asc G-RA x JU H-LON,0.76,0.029634592035103244,angle,G-RA x H-LON,True,True,JU,False,False,235,67
Asc G-LON x PA H-LON,0.68,0.02932708026788855,angle,G-LON x H-LON,True,True,PA,False,False,71,81
MO G-LON x MA H-LON,0.96,0.02923201293879084,moon,G-LON x H-LON,True,True,MA,False,False,313,357
VX G-LON x VE H-LON,0.86,0.02911475746999189,angle,G-LON x H-LON,True,True,VE,False,False,71,135
ME x VS H-LON,0.92,0.02733669409186823,helio,H-LON x H-LON,True,True,VS,False,False,225,159
VE x MA H-LON,1.0,0.026709311862896115,helio,H-LON x H-LON,True,True,MA,False,False,351,310
MO G-AZ x JU H-LON,0.96,0.026443024105441974,moon,G-AZ x H-LON,True,True,JU,False,False,346,274
Asc G-RA x MA H-LON,0.86,0.026115266823234295,angle,G-RA x H-LON,True,True,MA,False,False,219,70
Asc G-AZ x ME H-LON,0.86,0.025900111480536232,angle,G-AZ x H-LON,True,True,ME,False,False,225,333
MO G-AZ x ME H-LON,0.94,0.025766244522853553,moon,G-AZ x H-LON,True,True,ME,False,False,71,81
VE x UR H-LON,0.66,0.02453623736934134,helio,H-LON x H-LON,True,True,UR,False,True,249,165
Asc G-AZ x VS H-LON,0.8,0.024244783233476862,angle,G-AZ x H-LON,True,True,VS,False,False,166,156
MO G-RA x ME H-LON,0.94,0.024088519956854595,moon,G-RA x H-LON,True,True,ME,False,False,40,45
MO G-RA x VE H-LON,0.98,0.02379744886869092,moon,G-RA x H-LON,True,True,VE,False,False,110,307
MO G-LON x CE H-LON,0.76,0.022108253279435556,moon,G-LON x H-LON,True,True,CE,False,False,232,41
MC G-LON x MA H-LON,0.74,0.02071688087083317,angle,G-LON x H-LON,True,True,MA,False,False,273,0
ME x SA H-LON,0.92,0.020206555615009093,helio,H-LON x H-LON,True,True,SA,False,True,2,34
MO G-AZ x VS H-LON,0.98,0.020129904414290557,moon,G-AZ x H-LON,True,True,VS,False,False,103,304
Asc G-AZ x JU H-LON,0.64,0.020016699116982055,angle,G-AZ x H-LON,True,True,JU,False,False,157,49
ME x JN H-LON,0.86,0.01986711932894909,helio,H-LON x H-LON,True,True,JN,False,False,284,136
MO G-AZ x SA H-LON,0.9,0.01900537657189433,moon,G-AZ x H-LON,True,True,SA,False,True,36,250
MO G-LON x VS H-LON,0.6,0.01714343479480924,moon,G-LON x H-LON,True,True,VS,False,False,190,121
VX G-RA x ME H-LON,0.76,0.01711987532302128,angle,G-RA x H-LON,True,True,ME,False,False,70,67
ME x JU H-LON,0.84,0.01708398206606416,helio,H-LON x H-LON,True,True,JU,False,False,325,242
VE x SA H-LON,0.84,0.016883033433366897,helio,H-LON x H-LON,True,True,SA,False,True,155,38
ME x CE H-LON,0.7,0.015866517555827162,helio,H-LON x H-LON,True,True,CE,False,False,152,77
MO G-LON x SA H-LON,0.66,0.015666430646855186,moon,G-LON x H-LON,True,True,SA,False,True,321,126
ME x MA H-LON,0.76,0.015126448988221996,helio,H-LON x H-LON,True,True,MA,False,False,316,244
MO G-RA x VS H-LON,0.66,0.014995219013106522,moon,G-RA x H-LON,True,True,VS,False,False,115,32
VX G-LON x JU H-LON,0.62,0.014545131023219793,angle,G-LON x H-LON,True,True,JU,False,False,142,40
MO G-AZ x MA H-LON,0.96,0.014326333024237156,moon,G-AZ x H-LON,True,True,MA,False,False,97,76
MO G-AZ x JN H-LON,0.66,0.014158435210447977,moon,G-AZ x H-LON,True,True,JN,False,False,203,85
ME x UR H-LON,0.68,0.012036663899108919,helio,H-LON x H-LON,True,True,UR,False,True,275,272
MO G-LON x Ear H-LON,0.72,0.01171668807909056,moon,G-LON x H-LON,True,True,Ear,True,True,45,75
MC G-LON x SA H-LON,0.68,0.011434080558484539,angle,G-LON x H-LON,True,True,SA,False,True,283,141
VE x VS H-LON,0.64,0.005521099222411617,helio,H-LON x H-LON,True,True,VS,False,False,270,116
